date,value
2022-08-15,-0.13458252237415902
2022-08-16,-0.13347966582998338
2022-08-17,-0.1395210911410335
2022-08-18,-0.13836394212356784
2022-08-19,-0.14698946203461627
2022-08-22,-0.14982774902491836
2022-08-23,-0.15199957368486638
2022-08-24,-0.15557343818735714
2022-08-25,-0.1486474942436503
2022-08-26,-0.14667791686866094
2022-08-29,-0.15118596260540473
2022-08-30,-0.15082183860405085
2022-08-31,-0.15577223252467298
2022-09-01,-0.164999818903648
2022-09-02,-0.16082343533112387
2022-09-06,-0.17324941782260606
2022-09-07,-0.16521808949975914
2022-09-08,-0.17038811399251363
2022-09-09,-0.16944396501592396
2022-09-12,-0.17278596026287574
2022-09-13,-0.17440866428842905
2022-09-14,-0.17338814006338898
2022-09-15,-0.17548676493553805
2022-09-16,-0.17804021937611525
2022-09-19,-0.17793873875216526
2022-09-20,-0.183279817704447
2022-09-21,-0.1762484659901663
2022-09-22,-0.18921574886621106
2022-09-23,-0.18855600188233912
2022-09-26,-0.19990670697022084
2022-09-27,-0.21065390507231374
2022-09-28,-0.19251102610701665
2022-09-29,-0.19560239880030983
2022-09-30,-0.2009619420748967
2022-10-03,-0.19130314196614917
2022-10-04,-0.1911432478569448
2022-10-05,-0.19699600446187038
2022-10-06,-0.20040188504930767
2022-10-07,-0.20563394733590123
2022-10-10,-0.21314650356224984
2022-10-11,-0.2110829503951538
2022-10-12,-0.20825909089512484
2022-10-13,-0.2133880013142424
2022-10-14,-0.21808277475999882
2022-10-17,-0.21924580653855896
2022-10-18,-0.21773329942691144
2022-10-19,-0.22715903610769317
2022-10-20,-0.23482761798213359
2022-10-21,-0.23931286627706982
2022-10-24,-0.24257836406594924
2022-10-25,-0.23001180559437884
2022-10-26,-0.22358783955511785
2022-10-27,-0.21823503397398003
2022-10-28,-0.22240926341764622
2022-10-31,-0.22644021882247645
2022-11-01,-0.22291522933485386
2022-11-02,-0.2251887547720992
2022-11-03,-0.2284400770313122
2022-11-04,-0.23301990591205934
2022-11-07,-0.23748653152449783
2022-11-08,-0.2311986934056407
2022-11-09,-0.22934762679484466
2022-11-10,-0.2092357192621177
2022-11-11,-0.21067508818967418
2022-11-14,-0.21207461346300904
2022-11-15,-0.2045204500516492
2022-11-16,-0.19531731160918264
2022-11-17,-0.20110180232725927
2022-11-18,-0.20482883464922408
2022-11-21,-0.2037652453374177
2022-11-22,-0.19734263231242055
2022-11-23,-0.18948943947356855
2022-11-25,-0.19072164818435744
2022-11-28,-0.1899587011023921
2022-11-29,-0.19491228287518747
2022-11-30,-0.18924028671917015
2022-12-01,-0.17410340172604588
2022-12-02,-0.16922117548050286
2022-12-05,-0.17793981826210492
2022-12-06,-0.1715636049776088
2022-12-07,-0.1601219555094252
2022-12-08,-0.16250467885089137
2022-12-09,-0.17379163881199267
2022-12-12,-0.17340794490557387
2022-12-13,-0.16656252560183615
2022-12-14,-0.16447980658272632
2022-12-15,-0.1633515202231839
2022-12-16,-0.16747395295498846
2022-12-19,-0.17583975959212672
2022-12-20,-0.18314782279407316
2022-12-21,-0.1818524502710689
2022-12-22,-0.1826679058421724
2022-12-23,-0.18894435203168825
2022-12-27,-0.19773912177756814
2022-12-28,-0.20055134241400208
2022-12-29,-0.1950894536450748
2022-12-30,-0.1999851401985907
2023-01-03,-0.19099337504339065
2023-01-04,-0.18382113126785238
2023-01-05,-0.1834356239757161
2023-01-06,-0.172408456065832
2023-01-09,-0.1695955741140559
2023-01-10,-0.1770806375629047
2023-01-11,-0.1696016765179844
